,,time,S1_D2_,S3_D2_,S4_D2_,S7_D7_,S8_D7_,S10_D7,S1_D1_,S2_D1_,S3_D1_,S3_D4_,S4_D4_,S5_D4_,S8_D8_,S10_D8,S9_D8_,S7_D5_,S6_D5_,S8_D5_,S2_D3_,S3_D3_,S5_D3_,S6_D6_,S8_D6_,S9_D6_
L1,count,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0,1723.0
L1,mean,762.7248984329658,-0.0015321352872896112,0.02586459425420777,-0.006832931050493326,-0.026631972663958215,0.012737541381311664,-0.014154510562971559,-0.004568398549042369,-0.006777245327916425,-0.0030085316308763785,0.0034652988972721996,-0.011416398225188628,0.0012882056227510156,-0.005793912942542077,-0.005657793383633198,-0.0050134256529309335,-0.01737099524085897,-0.009752178467788742,-0.009804652640742892,-0.004253600533952409,0.03502641555426582,0.0045040669762042955,-0.009829699593731865,-3.3577649448635245e-05,-0.006404587092280905
L1,std,52.085260230226574,0.0232896166570675,0.05946488667200188,0.030101376013980587,0.09738011679632155,0.027854162435914844,0.06506772416485443,0.04704722577843504,0.036694702950460706,0.06291327928101842,0.03181234073701909,0.03747929089920887,0.044339191449667886,0.04710646785504844,0.04864168367164699,0.0354721934867728,0.07626299160046772,0.04228356606644184,0.03357094201240041,0.02304038404046174,0.11558425443399713,0.03310831735817399,0.04831701460135082,0.032238158424978736,0.027240561459537974
L1,min,671.0,-0.0596,-0.316,-0.0962,-0.29100000000000004,-0.163,-0.158,-0.105,-0.0814,-0.114,-0.12,-0.121,-0.114,-0.0933,-0.1,-0.0761,-0.204,-0.102,-0.0994,-0.0504,-0.479,-0.07,-0.125,-0.076,-0.0602
L1,25%,719.0,-0.0201,0.00205,-0.0229,-0.06185,0.001645,-0.05745,-0.0441,-0.0373,-0.05295,-0.01625,-0.0289,-0.03215,-0.04105,-0.0419,-0.0325,-0.0581,-0.0396,-0.0327,-0.02275,-0.02425,-0.0219,-0.0412,-0.026750000000000003,-0.0275
L1,50%,762.0,-0.00128,0.0243,-0.006409999999999999,-0.0351,0.0157,-0.0208,-0.00447,-0.0103,-0.0108,-0.00134,-0.0119,0.0052899999999999996,-0.0176,-0.0177,-0.00865,-0.0202,-0.0124,-0.0104,-0.00648,0.0555,0.0060799999999999995,-0.0157,-0.00418,-0.00909
L1,75%,807.0,0.0162,0.0494,0.0139,0.021,0.0261,0.02155,0.032350000000000004,0.0229,0.04695,0.018250000000000002,0.00904,0.0289,0.0315,0.03345,0.0206,0.0302,0.0153,0.0144,0.0122,0.09634999999999999,0.02715,0.02615,0.026750000000000003,0.01125
L1,max,852.0,0.0689,0.17800000000000002,0.0647,0.35,0.0696,0.21100000000000002,0.11599999999999999,0.0873,0.158,0.127,0.152,0.135,0.131,0.109,0.105,0.273,0.138,0.147,0.0694,0.275,0.0923,0.134,0.069,0.102
L2,count,1796.0,1796.0,1796.0,1796.0,1796.0,1796.0,1796.0,1796.0,1796.0,1796.0,1796.0,1796.0,1796.0,1796.0,1796.0,1796.0,1796.0,1796.0,1796.0,1796.0,1796.0,1796.0,1796.0,1796.0,1796.0
L2,mean,1737.3719376391982,0.0026697187639198217,0.03980639175946548,-0.0017894654788418712,-0.025260678118040093,0.008767687472160357,-0.012984584632516704,-0.0027741982739420946,-0.008458539582405344,0.008673579393095768,0.019079922605790646,-0.013983139771714921,0.020392645118596883,-0.005504963808463253,-0.004745239086859688,-0.004074714832962137,-0.020881945991091312,-0.015178241249443208,-0.009777138340757241,-0.004339203925389753,0.052867441369710465,0.021285259855233857,-0.01176461859688196,0.005845540701559019,-0.0072006614142538965
L2,std,55.05831573236913,0.043831610275597,0.08107194373872867,0.033221235855407,0.08487775582173039,0.029739903973908476,0.048048112352987525,0.048710445187319706,0.03654973278126349,0.07387207117084633,0.052307526149779675,0.056693789231239335,0.06373134298583874,0.04750596621897225,0.03647370725778219,0.039413950741568116,0.08155015695162338,0.05695835954900406,0.039559493273750294,0.02728577078320629,0.14395943529345911,0.07422594719923206,0.050061595103238356,0.033893066915256884,0.02517919657842241
L2,min,1640.0,-0.1,-0.529,-0.0891,-0.316,-0.154,-0.128,-0.138,-0.109,-0.259,-0.282,-0.19899999999999998,-0.14800000000000002,-0.115,-0.12,-0.0937,-0.242,-0.166,-0.14400000000000002,-0.0941,-0.736,-0.184,-0.177,-0.11800000000000001,-0.0703
L2,25%,1690.0,-0.0235,-0.00013749999999999998,-0.022325,-0.06835,-0.0095725,-0.040825,-0.036524999999999995,-0.028725,-0.037425,-0.016425000000000002,-0.046,-0.014225,-0.0359,-0.0277,-0.033,-0.0681,-0.04635,-0.0329,-0.019225,-0.004562500000000001,-0.00869,-0.0381,-0.0197,-0.0215
L2,50%,1740.0,0.0013800000000000002,0.0247,-0.0027150000000000004,-0.0207,0.0047150000000000004,-0.0153,0.001715,-0.00922,-0.000999,0.00686,-0.0212,0.01575,-0.00899,-0.00574,-0.00954,-0.0234,-0.0213,-0.00899,-0.003485,0.05015,0.021449999999999997,-0.0151,0.0007725,-0.008825
L2,75%,1790.0,0.0355,0.077225,0.023825000000000002,0.006215,0.028249999999999997,0.0033775,0.024625,0.0105,0.052525,0.052349999999999994,0.012525000000000001,0.045,0.0217,0.0195,0.020125,0.0149,0.016425000000000002,0.0121,0.0109,0.131,0.062424999999999994,0.0149,0.02345,0.0071575
L2,max,1830.0,0.151,0.34600000000000003,0.131,0.35,0.0919,0.179,0.11199999999999999,0.10800000000000001,0.266,0.18100000000000002,0.21899999999999997,0.266,0.17,0.11199999999999999,0.121,0.31,0.174,0.14,0.0771,0.43700000000000006,0.324,0.165,0.135,0.0996
Non,count,5030.0,5030.0,5030.0,5030.0,5030.0,5030.0,5030.0,5030.0,5030.0,5030.0,5030.0,5030.0,5030.0,5030.0,5030.0,5030.0,5030.0,5030.0,5030.0,5030.0,5030.0,5030.0,5030.0,5030.0,5030.0
Non,mean,1202.354870775348,0.002119322982107356,0.00775328714115308,0.0027864521272365807,-0.002050579899403578,0.0026952913260437383,-0.0015395942345924447,-0.004218243465208748,-0.0011688167872763422,-0.0034634807773359843,0.001612955926838966,-0.00023403057654075498,-0.002164949443339959,-0.0004199946043737575,0.0010422955149105371,-0.000993222932405567,-0.004557299419483101,0.0008133241550695821,-0.0008490015109343936,-0.0008442017713717691,0.008693368349900596,-0.0003813425536779325,-0.0004437825803180911,0.0015149898077534793,-0.00111757063220676
Non,std,155.97592466307452,0.05038487606032976,0.02505577757333094,0.048682047649587314,0.05203636671548889,0.027731911401477505,0.054996648908675325,0.037141750758068255,0.03601561587911795,0.02998403589781995,0.033055831177004676,0.03576123507565928,0.05614590942007601,0.02884602018176683,0.03663601265139708,0.045427194773618604,0.05171025665087878,0.06290941584100346,0.039498517467774705,0.018955444971125057,0.08383309685683525,0.027810512976482547,0.049049041651949274,0.018073668749151603,0.026977919262238827
Non,min,937.0,-0.158,-0.155,-0.132,-0.18600000000000003,-0.121,-0.141,-0.129,-0.107,-0.115,-0.10300000000000001,-0.121,-0.17300000000000001,-0.11199999999999999,-0.133,-0.113,-0.145,-0.154,-0.12,-0.063,-0.263,-0.0945,-0.141,-0.0661,-0.0786
Non,25%,1060.0,-0.037375000000000005,-0.006235,-0.0377,-0.042774999999999994,-0.0154,-0.047575000000000006,-0.0225,-0.0263,-0.0172,-0.0205,-0.026675,-0.0417,-0.0182,-0.0213,-0.038849999999999996,-0.0484,-0.0512,-0.027149999999999997,-0.0135,-0.052,-0.0193,-0.0389,-0.0072975,-0.0201
Non,50%,1200.0,0.016,0.00313,0.0111,0.0073950000000000005,-0.00266,0.0115,-0.0042450000000000005,0.005665,-0.0006755,0.007845,0.0052,0.0014299999999999998,0.005895,0.009925,0.0087,0.004805,0.0153,0.006765,0.0009625,-0.011800000000000001,-0.00010850000000000001,0.00876,0.00343,0.0038
Non,75%,1340.0,0.041275000000000006,0.0207,0.039775000000000005,0.03735,0.020874999999999998,0.0419,0.0132,0.0245,0.0143,0.0277,0.0259,0.0371,0.019575,0.0281,0.0328,0.0324,0.0446,0.0273,0.0128,0.0788,0.018574999999999998,0.03597499999999999,0.0126,0.0201
Non,max,1480.0,0.0882,0.12300000000000001,0.106,0.10800000000000001,0.109,0.0924,0.138,0.107,0.11800000000000001,0.0702,0.0673,0.18,0.0953,0.10099999999999999,0.0822,0.213,0.138,0.0747,0.0593,0.29,0.0918,0.0963,0.0672,0.0589
Ass,count,3758.0,3758.0,3758.0,3758.0,3758.0,3758.0,3758.0,3758.0,3758.0,3758.0,3758.0,3758.0,3758.0,3758.0,3758.0,3758.0,3758.0,3758.0,3758.0,3758.0,3758.0,3758.0,3758.0,3758.0,3758.0
Ass,mean,2074.765832889835,-0.0021404927621075038,0.006009636242682278,0.00033474208355508355,-0.002672344571580628,0.0007712732038318252,-0.0023974201436934546,-0.00322692261841405,-0.00461634095263438,-0.0021304866817456096,0.00018813103778605593,-0.003171992690260777,-0.004722389348057477,-0.001421827168706759,-0.0006558443587014373,-0.003707110351250666,-0.0037783280359233637,-0.005552762054284194,-0.0030171210537519957,-0.0027649354071314527,0.013082842243214472,0.00014313368813198514,-0.00466145280202235,0.0008748077913783933,-0.002441825771687067
Ass,std,111.53721063686503,0.05255857056532967,0.030519748629991385,0.050287311861092525,0.04814813753249502,0.020672647585877675,0.04053687369802258,0.05933431140146218,0.03257089982604439,0.0408940759107851,0.030674849028312124,0.033515085565965066,0.0455667011141941,0.0394298876796519,0.044260526239556855,0.03760455963118105,0.04088554520294662,0.05794931296697196,0.036255198322690835,0.025311217214902558,0.07018877938537217,0.02594651922166113,0.04899621676227851,0.024209316234045607,0.02423493531051894
Ass,min,1880.0,-0.14,-0.235,-0.11699999999999999,-0.182,-0.0698,-0.12300000000000001,-0.168,-0.0986,-0.113,-0.0814,-0.107,-0.146,-0.12,-0.134,-0.0967,-0.182,-0.14300000000000002,-0.0893,-0.0713,-0.369,-0.076,-0.12,-0.064,-0.0685
Ass,25%,1980.0,-0.040475,-0.0114,-0.0382,-0.0358,-0.012475000000000002,-0.0325,-0.0446,-0.0297,-0.0282,-0.022475000000000002,-0.024375,-0.0351,-0.0265,-0.028874999999999998,-0.0302,-0.0324,-0.0482,-0.0294,-0.021675,-0.025,-0.0171,-0.0417,-0.0165,-0.0206
Ass,50%,2080.0,-0.00791,0.00321,-0.002065,-0.00725,-9.529999999999999e-05,-0.004569999999999999,-0.0092,-0.00505,-0.0008225000000000001,-0.003945,-0.00657,-0.00842,-0.000256,0.002555,-0.007295,-0.0009065,-0.012150000000000001,-0.0030350000000000004,-0.0033,0.01155,0.0004845,-0.009174999999999999,0.00229,-0.003785
Ass,75%,2170.0,0.041175,0.018,0.033775,0.037875000000000006,0.0138,0.0243,0.0344,0.019275,0.0206,0.0243,0.0194,0.021475,0.029675,0.0349,0.02,0.025,0.0342,0.023875,0.0172,0.048175,0.0161,0.032,0.016,0.0148
Ass,max,2280.0,0.146,0.19899999999999998,0.131,0.18899999999999997,0.0784,0.131,0.18600000000000003,0.126,0.136,0.0691,0.121,0.166,0.10400000000000001,0.109,0.11900000000000001,0.174,0.19699999999999998,0.11699999999999999,0.0958,0.325,0.10400000000000001,0.157,0.0888,0.0774
